nclusters;base_prev;nsubjects ;effect;icc;rho_c;rho_s
11;0.24;100;0.25;0.05;0;0
11;0.24;100;0.3;0.05;0;0
11;0.24;100;0.35;0.05;0;0
11;0.24;100;0.4;0.05;0;0
11;0.24;100;0.45;0.05;0;0
11;0.24;75;0.25;0.05;0;0
11;0.24;75;0.3;0.05;0;0
11;0.24;75;0.35;0.05;0;0
11;0.24;75;0.4;0.05;0;0
11;0.24;75;0.45;0.05;0;0
11;0.24;50;0.25;0.05;0;0
11;0.24;50;0.3;0.05;0;0
11;0.24;50;0.35;0.05;0;0
11;0.24;50;0.4;0.05;0;0
11;0.24;50;0.45;0.05;0;0
11;0.24;100;0.25;0.03;0;0
11;0.24;100;0.3;0.03;0;0
11;0.24;100;0.35;0.03;0;0
11;0.24;100;0.4;0.03;0;0
11;0.24;100;0.45;0.03;0;0
11;0.24;75;0.25;0.03;0;0
11;0.24;75;0.3;0.03;0;0
11;0.24;75;0.35;0.03;0;0
11;0.24;75;0.4;0.03;0;0
11;0.24;75;0.45;0.03;0;0
11;0.24;50;0.25;0.03;0;0
11;0.24;50;0.3;0.03;0;0
11;0.24;50;0.35;0.03;0;0
11;0.24;50;0.4;0.03;0;0
11;0.24;50;0.45;0.03;0;0
11;0.24;100;0.25;0.01;0;0
11;0.24;100;0.3;0.01;0;0
11;0.24;100;0.35;0.01;0;0
11;0.24;100;0.4;0.01;0;0
11;0.24;100;0.45;0.01;0;0
11;0.24;75;0.25;0.01;0;0
11;0.24;75;0.3;0.01;0;0
11;0.24;75;0.35;0.01;0;0
11;0.24;75;0.4;0.01;0;0
11;0.24;75;0.45;0.01;0;0
11;0.24;50;0.25;0.01;0;0
11;0.24;50;0.3;0.01;0;0
11;0.24;50;0.35;0.01;0;0
11;0.24;50;0.4;0.01;0;0
11;0.24;50;0.45;0.01;0;0
11;0.28;100;0.25;0.05;0;0
11;0.28;100;0.3;0.05;0;0
11;0.28;100;0.35;0.05;0;0
11;0.28;100;0.4;0.05;0;0
11;0.28;100;0.45;0.05;0;0
11;0.28;75;0.25;0.05;0;0
11;0.28;75;0.3;0.05;0;0
11;0.28;75;0.35;0.05;0;0
11;0.28;75;0.4;0.05;0;0
11;0.28;75;0.45;0.05;0;0
11;0.28;50;0.25;0.05;0;0
11;0.28;50;0.3;0.05;0;0
11;0.28;50;0.35;0.05;0;0
11;0.28;50;0.4;0.05;0;0
11;0.28;50;0.45;0.05;0;0
11;0.28;100;0.25;0.03;0;0
11;0.28;100;0.3;0.03;0;0
11;0.28;100;0.35;0.03;0;0
11;0.28;100;0.4;0.03;0;0
11;0.28;100;0.45;0.03;0;0
11;0.28;75;0.25;0.03;0;0
11;0.28;75;0.3;0.03;0;0
11;0.28;75;0.35;0.03;0;0
11;0.28;75;0.4;0.03;0;0
11;0.28;75;0.45;0.03;0;0
11;0.28;50;0.25;0.03;0;0
11;0.28;50;0.3;0.03;0;0
11;0.28;50;0.35;0.03;0;0
11;0.28;50;0.4;0.03;0;0
11;0.28;50;0.45;0.03;0;0
11;0.28;100;0.25;0.01;0;0
11;0.28;100;0.3;0.01;0;0
11;0.28;100;0.35;0.01;0;0
11;0.28;100;0.4;0.01;0;0
11;0.28;100;0.45;0.01;0;0
11;0.28;75;0.25;0.01;0;0
11;0.28;75;0.3;0.01;0;0
11;0.28;75;0.35;0.01;0;0
11;0.28;75;0.4;0.01;0;0
11;0.28;75;0.45;0.01;0;0
11;0.28;50;0.25;0.01;0;0
11;0.28;50;0.3;0.01;0;0
11;0.28;50;0.35;0.01;0;0
11;0.28;50;0.4;0.01;0;0
11;0.28;50;0.45;0.01;0;0
